,close
2020/8/25,3.0424
2020/8/26,3.0511
2020/8/27,3.0599
2020/8/28,3.0672
2020/8/31,3.0177
2020/9/1,3.0478
2020/9/2,3.1027
2020/9/3,3.1051
2020/9/4,3.1228
2020/9/7,3.1454
2020/9/8,3.123
2020/9/9,3.0805
2020/9/10,3.0833
2020/9/11,3.1346
2020/9/14,3.1532
2020/9/15,3.1083
2020/9/16,3.126
2020/9/17,3.1334
2020/9/18,3.1162
2020/9/21,3.0999
2020/9/22,3.0863
2020/9/23,3.089
2020/9/24,3.084
2020/9/25,3.1295
2020/9/27,3.1324
2020/9/28,3.1092
2020/9/29,3.1292
2020/9/30,3.1482
2020/10/9,3.1873
2020/10/10,3.1898
2020/10/12,3.1861
2020/10/13,3.195
2020/10/14,3.215
2020/10/15,3.23
2020/10/16,3.2202
2020/10/19,3.2005
2020/10/20,3.1955
2020/10/21,3.1855
2020/10/22,3.1707
2020/10/23,3.1957
2020/10/26,3.1934
2020/10/27,3.1609
2020/10/28,3.181
2020/10/29,3.186
2020/10/30,3.181
2020/11/2,3.1785
2020/11/3,3.1762
2020/11/4,3.1687
2020/11/5,3.1912
2020/11/6,3.2063
2020/11/9,3.2363
2020/11/10,3.2241
2020/11/11,3.2391
2020/11/12,3.2614
2020/11/13,3.2715
2020/11/16,3.2741
2020/11/17,3.2866
2020/11/18,3.324
2020/11/19,3.3487
2020/11/20,3.31
2020/11/23,3.265
2020/11/24,3.29
2020/11/25,3.2675
2020/11/26,3.285
2020/11/27,3.3
2020/11/30,3.25
2020/12/1,3.2725
2020/12/2,3.2925
2020/12/3,3.2851
2020/12/4,3.2651
2020/12/7,3.2701
2020/12/8,3.2551
2020/12/9,3.2726
2020/12/10,3.2601
2020/12/11,3.2951
2020/12/14,3.2851
2020/12/15,3.2777
2020/12/16,3.2752
2020/12/17,3.2802
2020/12/18,3.2902
2020/12/21,3.2652
2020/12/22,3.2278
2020/12/23,3.2153
2020/12/24,3.2303
2020/12/25,3.1878
2020/12/28,3.1629
2020/12/29,3.1554
2020/12/30,3.1204
2020/12/31,3.1429
2021/1/4,3.178
2021/1/5,3.1305
2021/1/6,3.1256
2021/1/7,3.1256
2021/1/8,3.1456
2021/1/11,3.1632
2021/1/12,3.1457
2021/1/13,3.1157
2021/1/14,3.1059
2021/1/15,3.1508
2021/1/18,3.1658
2021/1/19,3.1609
2021/1/20,3.161
2021/1/21,3.1335
2021/1/22,3.1185
2021/1/25,3.1323
2021/1/26,3.1585
2021/1/27,3.1636
2021/1/28,3.1961
2021/1/29,3.1786
2021/2/1,3.1712
2021/2/2,3.1862
2021/2/3,3.2112
2021/2/4,3.2347
2021/2/5,3.2164
2021/2/7,3.2168
2021/2/8,3.237
2021/2/9,3.2303
2021/2/10,3.2449
2021/2/18,3.2831
2021/2/19,3.2578
2021/2/20,3.2605
2021/2/22,3.2736
2021/2/23,3.2635
2021/2/24,3.2627
2021/2/25,3.2723
2021/2/26,3.2798
2021/3/1,3.2475
2021/3/2,3.2474
2021/3/3,3.2553
2021/3/4,3.2655
2021/3/5,3.2457
2021/3/8,3.2404
2021/3/9,3.2478
2021/3/10,3.2353
2021/3/11,3.2506
2021/3/12,3.2613
2021/3/15,3.274
2021/3/16,3.2614
2021/3/17,3.2564
2021/3/18,3.2592
2021/3/19,3.2364
2021/3/22,3.2309
2021/3/23,3.2105
2021/3/24,3.193
2021/3/25,3.1882
2021/3/26,3.1985
2021/3/29,3.1962
2021/3/30,3.206
2021/3/31,3.1887
2021/4/1,3.196
2021/4/2,3.2013
2021/4/6,3.2087
2021/4/7,3.2215
2021/4/8,3.2221
2021/4/9,3.2121
2021/4/12,3.1948
2021/4/13,3.1626
2021/4/14,3.1651
2021/4/15,3.1728
2021/4/16,3.1631
2021/4/19,3.1559
2021/4/20,3.1554
2021/4/21,3.153
2021/4/22,3.1614
2021/4/23,3.1719
2021/4/25,3.1841
2021/4/26,3.2024
2021/4/27,3.2078
2021/4/28,3.1979
2021/4/29,3.1872
2021/4/30,3.164
2021/5/6,3.1507
2021/5/7,3.1589
2021/5/8,3.1582
2021/5/10,3.146
2021/5/11,3.138
2021/5/12,3.131
2021/5/13,3.1366
2021/5/14,3.1422
2021/5/17,3.1524
2021/5/18,3.1457
2021/5/19,3.1298
2021/5/20,3.1001
2021/5/21,3.0876
2021/5/24,3.085
2021/5/25,3.085
2021/5/26,3.06
2021/5/27,3.0725
2021/5/28,3.0825
2021/5/31,3.045
2021/6/1,3.04
2021/6/2,3.065
2021/6/3,3.055
2021/6/4,3.0925
2021/6/7,3.11
2021/6/8,3.11
2021/6/9,3.1051
2021/6/10,3.1
2021/6/11,3.1276
2021/6/15,3.1176
2021/6/16,3.1301
2021/6/17,3.1401
2021/6/18,3.1202
2021/6/21,3.0953
2021/6/22,3.0877
2021/6/23,3.0853
2021/6/24,3.0828
2021/6/25,3.0827
2021/6/28,3.0903
2021/6/29,3.0853
2021/6/30,3.0778
2021/7/1,3.0878
2021/7/2,3.0803
2021/7/5,3.0754
2021/7/6,3.0854
2021/7/7,3.0554
2021/7/8,2.983
2021/7/9,3.0105
2021/7/12,2.9431
2021/7/13,2.9256
2021/7/14,2.9356
2021/7/15,2.9557
2021/7/16,2.9432
2021/7/19,2.9483
2021/7/20,2.9258
2021/7/21,2.9184
2021/7/22,2.9284
2021/7/23,2.9134
2021/7/26,2.8711
2021/7/27,2.911
2021/7/28,2.9312
2021/7/29,2.884
2021/7/30,2.8363
2021/8/2,2.8212
2021/8/3,2.8337
2021/8/4,2.8338
2021/8/5,2.7988
2021/8/6,2.8139
2021/8/9,2.8615
2021/8/10,2.8766
2021/8/11,2.8841
2021/8/12,2.8566
2021/8/13,2.8792
2021/8/16,2.8943
2021/8/17,2.8819
2021/8/18,2.8494
2021/8/19,2.8395
2021/8/20,2.852
2021/8/23,2.8672
2021/8/24,2.8522
2021/8/25,2.8547
2021/8/26,2.8848
2021/8/27,2.8698
